"ISO3","country","plot_country","food_security_rank","percent_game_pppd","biodiversity_loss","total_risk_category"
"MLT","Malta",NA,NA,0.0400184951638856,0.00225752553403801,NA
"CHN","China","China",35,0.0206148508043763,1.22280369326687,"3"
"ARE","United Arab Emirates","",21,0.014687034668996,0.00027665282778914,"1"
"BGR","Bulgaria","Bulgaria",51,0.0128094598609088,0.00268482673375875,"1"
"KAZ","Kazakhstan","Kazakhstan",48,0.00697305146355622,0.000704340738514056,"1"
"RUS","Russian Federation","Russian Federation",42,6.47311848706483e-05,6.71845848992521e-05,"2"
"BGD","Bangladesh",NA,83,0,0,NA
"IDN","Indonesia",NA,62,0,0,"2"
"NPL","Nepal",NA,79,0,0,NA
"YEM","Yemen",NA,111,0,0,NA
"HTI","Haiti",NA,103,0,0,NA
"THA","Thailand",NA,52,0,0,NA
"GEO","Georgia",NA,NA,0,0,"1"
"MRT","Mauritania",NA,NA,0,0,NA
"BIH","Bosnia and Herzegovina",NA,NA,0,0,NA
"AZE","Azerbaijan",NA,53,0,0,NA
"MDA","Republic of Moldova",NA,NA,0,0,NA
"KGZ","Kyrgyzstan",NA,NA,0,0,NA
"LBN","Lebanon",NA,NA,0,0,NA
"ALB","Albania",NA,NA,0,0,"1"
"SRB","Serbia",NA,59,0,0,NA
"JOR","Jordan",NA,64,0,0,NA
"CPV","Cabo Verde",NA,NA,0,0,NA
"EST","Estonia",NA,NA,0,0,NA
"KOR","Republic of Korea",NA,29,0,0,NA
"ECU","Ecuador",NA,63,0,0,"3"
"LVA","Latvia",NA,NA,0,0,NA
"SAU","Saudi Arabia",NA,30,0,0,NA
"HUN","Hungary",NA,34,0,0,NA
"CAN","Canada",NA,8,0,0,NA
"KWT","Kuwait",NA,27,0,0,NA
"BHS","Bahamas",NA,NA,0,0,"1"
"AUS","Australia",NA,12,0,0,NA
"IND","India",NA,72,NA,0,NA
"MOZ","Mozambique",NA,105,NA,0,NA
"MWI","Malawi",NA,104,NA,0,NA
"LKA","Sri Lanka",NA,66,NA,0,NA
"LBY","Libya",NA,NA,NA,0,NA
"TJK","Tajikistan",NA,93,NA,0,NA
"DJI","Djibouti",NA,NA,NA,0,NA
"GNB","Guinea-Bissau",NA,NA,NA,0,NA
"PAK","Pakistan",NA,78,NA,0,NA
"LAO","Lao People's Democratic Republic",NA,92,NA,0,NA
"IRQ","Iraq",NA,NA,NA,0,NA
"DZA","Algeria",NA,70,NA,0,NA
"SWZ","Swaziland",NA,NA,NA,0,NA
"MDV","Maldives",NA,NA,NA,0,NA
"EGY","Egypt",NA,55,NA,0,NA
"NIC","Nicaragua",NA,82,NA,0,NA
"SLV","El Salvador",NA,67,NA,0,NA
"GTM","Guatemala",NA,68,NA,0,NA
"PHL","Philippines",NA,64,NA,0,NA
"UZB","Uzbekistan",NA,71,NA,0,NA
"MKD","The former Yugoslav Republic of Macedonia",NA,NA,NA,0,NA
"TUR","Turkey",NA,41,NA,0,NA
"HND","Honduras",NA,73,NA,0,NA
"ARM","Armenia",NA,NA,NA,0,NA
"GUY","Guyana",NA,NA,433.741323726519,0,"2"
"FJI","Fiji",NA,NA,NA,0,NA
"UKR","Ukraine",NA,76,NA,0,NA
"JPN","Japan",NA,21,NA,0,NA
"CUB","Cuba",NA,NA,NA,0,NA
"COL","Colombia",NA,NA,5.75729461754649,0,"3"
"BLZ","Belize",NA,NA,NA,0,NA
"CRI","Costa Rica",NA,39,NA,0,NA
"MYS","Malaysia",NA,28,NA,0,NA
"DOM","Dominican Republic",NA,56,NA,0,NA
"HRV","Croatia",NA,NA,NA,0,NA
"PRY","Paraguay",NA,74,NA,0,NA
"GRD","Grenada",NA,NA,NA,0,NA
"SUR","Suriname",NA,NA,431.373828227413,0,"2"
"DMA","Dominica",NA,NA,NA,0,NA
"JAM","Jamaica",NA,NA,NA,0,NA
"MEX","Mexico",NA,NA,NA,0,NA
"SYR","Syrian Arab Republic",NA,107,NA,0,NA
"MNE","Montenegro",NA,NA,NA,0,NA
"PSE","Occupied Palestinian Territory",NA,NA,NA,0,NA
"TTO","Trinidad and Tobago",NA,NA,NA,0,NA
"PAN","Panama",NA,45,NA,0,NA
"BOL","Bolivia (Plurinational State of)","Bolivia",75,17.7105249277794,0,"3"
"BLR","Belarus",NA,36,NA,0,NA
"BRB","Barbados",NA,NA,NA,0,NA
"NCL","New Caledonia",NA,NA,NA,0,NA
"KNA","Saint Kitts and Nevis",NA,NA,NA,0,NA
"BRN","Brunei Darussalam",NA,NA,NA,0,NA
"MNG","Mongolia",NA,NA,NA,0,NA
"CHL","Chile",NA,25,NA,0,NA
"VEN","Venezuela (Bolivarian Republic of)","Tanzania",113,5.60126903566436,0,"3"
"LCA","Saint Lucia",NA,NA,NA,0,NA
"ATG","Antigua and Barbuda",NA,NA,NA,0,NA
"ISL","Iceland",NA,NA,NA,0,NA
"BRA","Brazil","Brazil",39,0.708244982102309,0,"3"
"VCT","Saint Vincent and the Grenadines",NA,NA,NA,0,NA
"PYF","French Polynesia",NA,NA,NA,0,NA
"ISR","Israel",NA,18,NA,0,NA
