Country Name,ISO3,2012,2013,2014,2015,2016,2017,2018,2019
Djibouti,DJI,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727
Dominica,DMA,1.356771478,-0.046411647,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119,
Denmark,DNK,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573
Dominican Republic,DOM,3.694549458,4.830950967,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377
Algeria,DZA,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211
East Asia & Pacific (excluding high income),EAP,3.026963911,2.913541936,3.142990509,1.221270061,1.798457463,2.987725468,3.329910633,2.762520194
Early-demographic dividend,EAR,5.018041554,4.827787055,4.129243069,3.09551722,3.371530035,3.463185945,4.129311137,2.772864429
East Asia & Pacific,EAS,3.014899503,2.582687661,2.510876333,0.78951789,1.265344873,1.850787675,2.432841176,1.703978632
Europe & Central Asia (excluding high income),ECA,3.316055667,3.984712355,2.981308689,4.003578207,1.275431684,3.153186175,2.613230593,3.103729448
Europe & Central Asia,ECS,2.770890453,1.733619743,0.592255589,0.338705695,0.372761399,1.875100596,2.013220754,1.784150974
Ecuador,ECU,5.10172181,2.721775777,3.589220166,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515
"Egypt, Arab Rep.",EGY,7.111729433,9.469719811,10.07021547,10.37049034,13.81360621,29.50660839,14.40146578,
Euro area,EMU,2.485673529,1.219993423,0.24104743,0.037514381,0.183334861,1.381458714,1.703497947,1.445667015
Eritrea,ERI,,,,,,,,
Spain,ESP,2.446000185,1.408546292,-0.150870313,-0.500461321,-0.202671741,1.956083333,1.675067615,0.699536242
Estonia,EST,3.933399873,2.78056659,-0.106175147,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312
Ethiopia,ETH,23.37858236,7.464021929,6.890019516,9.56889956,6.628133372,10.68711503,13.83303566,15.80963217
European Union,EUU,2.662841655,1.219993423,0.199343827,-0.06164468,0.183334861,1.429107433,1.73860862,1.630522608
Fragile and conflict affected situations,FCS,5.985904973,2.605818027,1.854898504,1.450690576,2.269870148,2.278115309,3.214539255,
Finland,FIN,2.808336226,1.478286157,1.041196212,-0.20792884,0.356684501,0.754015047,1.083820984,1.02409393
Fiji,FJI,3.423375234,2.913541936,0.519306475,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825
France,FRA,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923
Faroe Islands,FRO,,,,,,,,
"Micronesia, Fed. Sts.",FSM,5.01850353,1.752327374,0.650284892,-0.298115837,-1.037468064,0.522623903,,
Gabon,GAB,2.652418287,0.505441059,4.690457518,-0.338795189,2.106707128,2.651925831,4.749066521,2.464567562
United Kingdom,GBR,2.573234797,2.291666667,1.451120163,0.368046842,1.008417368,2.557755776,2.292839903,1.738104601
Georgia,GEO,-0.943658853,-0.512058411,3.068812104,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217
Ghana,GHA,7.12635006,11.66619231,15.48961603,17.1499695,17.45463471,12.37192155,9.836992686,
Gibraltar,GIB,,,,,,,,
Guinea,GIN,15.22510139,11.88789561,6.150869388,11.78235746,8.172116963,8.91452597,9.826001808,9.470779373
"Gambia, The",GMB,4.254321998,5.699129896,5.947999357,6.808454946,7.228792721,8.034189745,6.520968239,7.115676256
Guinea-Bissau,GNB,2.130545803,1.207125557,-1.509244606,,,,0.381324703,0.246600268
Equatorial Guinea,GNQ,3.656620483,2.948876946,4.309998661,1.676630853,1.411939155,0.745599218,1.349884388,1.238698602
Greece,GRC,1.501527961,-0.922168807,-1.311210501,-1.736036796,-0.825651782,1.121235477,0.625629147,0.252978044
Grenada,GRD,2.41077704,-0.043999786,-0.983603056,-0.515448031,1.650389944,0.908458256,0.804102313,
Greenland,GRL,,,,,,,,
Guatemala,GTM,3.781807547,4.343371313,3.418361697,2.388720328,4.448441999,4.424536552,3.751861867,3.69998398
Guam,GUM,,,,,,,,
Guyana,GUY,2.391935213,1.901251819,0.852630498,-1.001734328,0.836008062,1.904656155,1.282842884,2.087230892
High income,HIC,2.630127758,1.471559406,1.033172121,0.349037004,0.443258966,1.547542288,1.812951565,1.610767873
"Hong Kong SAR, China",HKG,4.063860668,4.323570432,4.438502674,2.995391705,2.411135968,1.480582524,2.407717452,2.864927988
Honduras,HND,5.196186155,5.161898986,6.129249303,3.15783118,2.724612233,3.934360844,4.347349378,4.365871598
Heavily indebted poor countries (HIPC),HPC,6.314744503,5.161898986,3.969860452,4.059610411,5.174766293,5.479823987,3.702896444,2.616954226
Croatia,HRV,3.412073491,2.216582064,-0.21519616,-0.464499005,-1.125,1.129372103,1.50012501,0.771820346
Haiti,HTI,5.018041554,4.765024048,3.4381666,6.731840697,11.50290739,10.68008872,12.48141112,
Hungary,HUN,5.652145171,1.73319985,-0.227566271,-0.06164468,0.394769307,2.348242812,2.850247926,3.338586354
IBRD only,IBD,4.387439068,3.895551526,3.418361697,3.062031696,2.351450967,3.293918857,3.216053831,2.764980852
IDA & IBRD total,IBT,4.954645233,4.343371313,3.534368561,3.15783118,2.821707847,3.396975849,3.216053831,2.77698537
IDA total,IDA,5.259657313,4.865118995,3.694803557,3.193771552,3.205224346,3.892516254,3.255194839,2.825100281
IDA blend,IDB,4.357420476,3.755710455,1.383519025,1.952106799,1.262290164,1.531534889,2.63647201,3.637899003
Indonesia,IDN,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157,3.80879807,3.198346416,3.03058665
IDA only,IDX,5.871586018,5.009646453,4.267297705,3.77406982,3.953532566,4.510117963,3.494458489,2.781106312
Isle of Man,IMN,,,,,,,,
India,IND,9.312445605,10.90764331,6.353194544,5.872426595,4.941026458,2.490886999,4.860699467,7.659694743
Not classified,INX,,,,,,,,
Ireland,IRL,1.696208973,0.508714869,0.182542317,-0.289879079,0.008306338,0.340531561,0.488370168,0.939044481
"Iran, Islamic Rep.",IRN,27.25681272,36.60303552,16.60655324,12.48468156,7.24542549,8.044924377,18.01411834,39.90734557
Iraq,IRQ,6.089096416,1.879498007,2.235974079,1.393330288,0.556521397,0.184058899,0.367441489,
Iceland,ISL,5.185899888,3.872279237,2.044614815,1.633055582,1.69692762,1.760415592,2.682917683,3.013971792
Israel,ISR,1.68422871,1.571392169,0.485030942,-0.632490013,-0.54438861,0.244210526,0.814852151,0.841596534
Italy,ITA,3.041363332,1.219993423,0.24104743,0.0387904,-0.094016657,1.226533166,1.137487636,0.611246944
Jamaica,JAM,6.898248186,9.344402834,8.290005777,3.675887919,2.351450967,4.375785137,3.740158366,3.909646229
Jordan,JOR,4.515229567,4.824623143,2.89947905,-0.87685136,-0.778430463,3.323894476,4.462311085,0.761514047
Japan,JPN,-0.051939058,0.346440326,2.761954083,0.78951789,-0.116666667,0.467211747,0.97990367,0.476973684
Kazakhstan,KAZ,5.09791485,5.846409173,6.706578291,6.665776115,14.54602379,7.440004373,6.019130966,5.245476796
Kenya,KEN,9.377767482,5.71749357,6.878154993,6.582174403,6.297157525,8.005722791,4.689819761,
Kyrgyz Republic,KGZ,2.768442365,6.613752024,7.534247298,6.50331839,0.388838297,3.175309864,1.542661452,1.133622577
Cambodia,KHM,2.932724618,2.94260016,3.855238553,1.221270061,3.04541464,2.890924692,2.4579649,
Kiribati,KIR,-3.045862928,-1.488059085,2.103985209,0.572015744,,,,
St. Kitts and Nevis,KNA,0.816089282,1.10698554,0.247865392,-2.30187563,-0.687037123,0.694916712,-1.037122141,
"Korea, Rep.",KOR,2.187221208,1.301377058,1.274714702,0.70620817,0.971674764,1.944455907,1.475862404,0.382946132
Kuwait,KWT,3.255146003,2.682296841,2.908926729,3.271701661,3.198397767,2.171832985,0.543133148,1.091848027
Latin America & Caribbean (excluding high income),LAC,4.144572841,3.306553603,3.478322391,3.143416962,2.77316004,3.279556947,3.240234138,3.141295006
Lao PDR,LAO,4.255126778,6.371427178,4.129243069,1.277354271,1.596914927,0.825500218,2.039874055,3.322813937
Lebanon,LBN,6.581474477,4.821019563,1.854604213,-3.749145248,-0.783359624,4.321352183,6.076989079,3.005389494
Liberia,LBR,6.831787034,7.577306817,9.861112856,7.748696876,8.834248683,12.41963239,23.5635149,
Libya,LBY,6.059803922,2.605818027,,,,,,
St. Lucia,LCA,4.177635871,1.472018389,3.518478182,-0.984309204,-3.092989589,0.118417726,1.938462444,
Latin America & Caribbean,LCN,3.898495879,2.606252636,3.314187885,2.133579326,1.689327289,2.312249,2.434889814,3.141295006
Least developed countries: UN classification,LDC,6.377978656,5.580655102,4.405352342,4.377126651,5.479642255,5.318716052,3.702896444,3.321033832
Low income,LIC,7.17420534,5.51827137,4.405352342,5.58816953,6.044560283,8.274372533,3.986248894,3.111218622
Liechtenstein,LIE,,,,,,,,
Sri Lanka,LKA,7.542913732,6.908450348,3.179002282,3.768367831,3.958888466,7.704137679,2.135037737,3.528393582
Lower middle income,LMC,4.956307502,5.3537996,5.165902379,3.218445137,3.205224346,3.664527479,4.347349378,3.174920188
Low & middle income,LMY,5.006863194,4.698320123,3.561794364,3.163464574,2.965632857,3.627096107,3.350854494,2.795823675
Lesotho,LSO,6.051436621,4.865118995,5.37028961,3.218445137,6.596504907,4.447699374,4.751803016,5.187083592
Late-demographic dividend,LTE,3.316055667,2.682296841,2.044614815,1.557907113,1.109208058,2.177275727,2.474463471,2.277259312
Lithuania,LTU,3.089982771,1.047479371,0.103758009,-0.884097406,0.905525075,3.722888623,2.697927792,2.33450938
Luxembourg,LUX,2.662841655,1.734039635,0.628543985,0.474743161,0.290833333,1.730799591,1.528195243,1.743320757
Latvia,LVA,2.257789244,-0.029454778,0.620490637,0.174242244,0.140633335,2.930363124,2.534454242,2.811409201
"Macao SAR, China",MAC,6.108311726,5.506786663,6.045271806,4.559202881,2.370161348,1.22655456,3.005221006,
St. Martin (French part),MAF,,,,,,,,
Morocco,MAR,1.287122401,1.880654667,0.442310054,1.557907113,1.635311143,0.754663249,1.912959405,0.196065521
Monaco,MCO,,,,,,,,
Moldova,MDA,4.546334274,4.597878974,5.088785546,9.676240331,6.35930898,6.570229975,3.045053973,4.837783514
Madagascar,MDG,5.713844342,5.826429445,6.080408111,7.404191742,6.044560283,8.590061197,8.597958238,5.62530574
Maldives,MDV,,,,,0.502509414,2.817473382,-0.133373386,0.220029731
Middle East & North Africa,MEA,3.731209508,2.964004999,2.346268657,1.494759286,1.852075752,1.492252182,2.084812496,1.091848027
Mexico,MEX,4.111509811,3.806390697,4.018616081,2.72064065,2.821707847,6.04145724,4.899350154,3.635961421
Marshall Islands,MHL,,,,,,,,
Middle income,MIC,4.495378139,4.129101738,3.534368561,2.676235314,2.578155152,3.316087622,3.22703471,2.772864429
North Macedonia,MKD,3.316055667,2.785000567,-0.281705033,-0.299920476,-0.239290788,1.351618897,1.458312985,0.766439573
Mali,MLI,5.323128471,-0.606736356,0.883814547,1.450690576,-1.799647071,1.759857429,0.299546507,-1.658266948
Malta,MLT,2.375820578,1.180284364,0.310306472,1.100548264,0.642702772,1.364354482,1.157823625,1.642060018
Myanmar,MMR,1.467583227,5.643038834,4.953299185,9.454171895,6.928825258,4.572536553,6.872328657,
Middle East & North Africa (excluding high income),MNA,6.089096416,4.037629336,2.89947905,1.494759286,2.186861615,3.822623329,4.462311085,2.478578852
Montenegro,MNE,4.14524725,2.205892681,-0.710514052,1.548691582,-0.271385023,2.380235991,2.611216472,
Mongolia,MNG,14.33033483,10.49065676,12.25398081,5.726872247,0.742300726,4.310762541,6.812435942,7.304815975
Northern Mariana Islands,MNP,,,,,,,,
Mozambique,MOZ,2.60245457,4.261352509,2.559748758,3.550759674,17.41804182,15.11320739,3.9113344,2.781106312
Mauritania,MRT,4.902427272,4.129101738,3.534368561,3.237703083,1.48600677,2.275034573,3.048914829,2.300092621
Mauritius,MUS,3.852160333,3.543295739,3.21769192,1.286549708,0.977675135,3.666997027,3.216053831,0.40565519
Malawi,MWI,21.271265,27.28333333,23.79206495,21.86734755,21.71111321,11.54339392,12.42017811,9.370836056
Malaysia,MYS,1.663571025,2.105012312,3.142990509,2.104389802,2.090566595,3.871201158,0.884709161,0.662891866
North America,NAC,1.792507748,1.201562277,1.764429442,0.621934248,1.345171376,1.863497066,2.355404485,1.88073955
Namibia,NAM,6.721997773,5.600925023,5.349526128,3.395660655,6.727795407,6.143923662,4.288574989,3.726975116
New Caledonia,NCL,1.749672346,1.27761319,0.178851061,0.570508141,0.578317436,,,
Niger,NER,0.45508982,2.29723115,-0.93028726,-0.57609037,1.653889224,2.796373189,2.96760366,-2.489792651
Nigeria,NGA,12.21778174,8.475827285,8.062485824,9.009387183,15.67534055,16.52353998,12.09473155,11.39679497
Nicaragua,NIC,7.193550533,7.135467853,6.035968618,3.997379967,3.523173176,3.850671663,4.94723728,5.376289908
Netherlands,NLD,2.455547653,2.506898527,0.97603508,0.600248147,0.316666667,1.381458714,1.703497947,2.633699102
Norway,NOR,0.696864111,2.120486204,2.041702867,2.171136654,3.55,1.875100596,2.764831345,2.167730033
Nepal,NPL,9.459809804,9.040163119,8.364154697,7.868908956,8.79034332,3.627096107,4.061163388,5.568685478
Nauru,NRU,,,,,,,,
New Zealand,NZL,1.059913184,1.134422664,1.227507506,0.292704628,0.646240284,1.850787675,1.598297038,1.619631902
OECD members,OED,2.470610591,1.423422082,0.592255589,0.301034588,0.443258966,1.822643361,1.881108014,1.684313604
Oman,OMN,2.947734953,1.045528388,1.022343145,0.065290133,1.109208058,1.597160603,0.881302104,0.133795057
Other small states,OSS,3.933399873,3.221977568,2.34545314,1.633055582,1.554433387,2.516080911,2.659694846,1.8061116
Pakistan,PAK,9.682351861,7.692156119,7.189384028,2.529328173,3.765119164,4.08537368,5.078057259,10.57835938
Panama,PAN,5.698199592,4.027159916,2.626526999,0.137492058,0.739734025,0.875585919,0.761578359,-0.355083821
Peru,PER,3.655709068,2.806716509,3.244963042,3.549288049,3.592113241,2.80283917,1.317647659,2.137153426
Philippines,PHL,3.026963911,2.582687661,3.597823439,0.674192537,1.253698801,2.853187726,5.211604606,2.480278587
Palau,PLW,3.614180479,3.354810042,4.191745486,0.949040644,-1.042305334,1.280462619,,
Papua New Guinea,PNG,4.537205082,4.96031746,5.222117202,5.995957781,6.673728814,5.42204568,4.720849926,3.637899003
Poland,POL,3.560371517,0.991982606,0.053821313,-0.874125874,-0.664767331,2.075935537,1.812951565,2.227478809
Pre-demographic dividend,PRE,6.441212809,4.631616197,3.304523084,3.550759674,5.174766293,5.479823987,3.048914829,2.452802141
Puerto Rico,PRI,,,,,,,,
"Korea, Dem. People’s Rep.",PRK,,,,,,,,
Portugal,PRT,2.773338541,0.274416667,-0.278153367,0.487938624,0.607397075,1.368614116,0.993715683,0.33817841
Paraguay,PRY,3.67591898,2.683857387,5.028827675,3.129002745,4.086822806,3.602477413,3.975610157,2.757097276
West Bank and Gaza,PSE,2.779087683,1.724399336,1.7329851,1.431611458,-0.219106605,0.212570934,,1.580183336
Pacific island small states,PSS,2.736197035,1.605630546,1.451424524,0.648242939,0.842069084,1.749896775,,
Post-demographic dividend,PST,2.485673529,1.408546292,0.906797949,0.368046842,0.607397075,1.730799591,1.73860862,1.619631902
French Polynesia,PYF,,,,,,,,
Qatar,QAT,2.315348534,3.221977568,3.349720857,1.814077239,2.676591701,0.394878914,0.255815383,-0.666641125
Romania,ROU,3.334922677,3.984712355,1.068309877,-0.594156437,-1.544796668,1.339021211,4.625484431,3.827854326
Russian Federation,RUS,5.074743008,6.753710262,7.823411839,15.53440505,7.04244763,3.683329444,2.878297236,4.470366608
Rwanda,RWA,10.27296742,5.935586904,2.328308208,2.529055492,7.18448152,8.274372533,-0.309533636,3.353342993
South Asia,SAS,9.312445605,7.530406409,6.991638892,4.548143951,4.171390211,4.520228675,4.061163388,5.568685478
Saudi Arabia,SAU,2.866268875,3.532524707,2.236290315,1.206073222,2.068840361,-0.83819458,2.45814158,-2.093333333
Sudan,SDN,35.55905741,36.52234491,36.90664279,16.90945571,17.75036955,32.3516261,63.29250735,50.9940515
Senegal,SEN,1.418228712,0.710245487,-1.090255074,0.135211934,0.837284943,1.318153148,0.460985642,1.758565176
Singapore,SGP,4.575602704,2.358604154,1.02514803,-0.522618167,-0.53226874,0.57626031,0.438620118,0.565260569
Solomon Islands,SLB,5.912006025,5.391363886,5.165902379,-0.574469286,0.512485626,0.48868676,3.46147485,1.63485544
Sierra Leone,SLE,6.588359616,5.51827137,4.645462047,6.693679279,10.88328586,18.2198092,16.03278985,14.80305857
El Salvador,SLV,1.729734816,0.757669185,1.141344675,-0.731384487,0.604049087,1.012354033,1.090330006,0.075324135
San Marino,SMR,2.827332242,1.604392981,1.112963034,0.145686073,0.57394802,1.045976835,,
Somalia,SOM,,,,,,,,
Serbia,SRB,7.330385896,7.694263629,2.082447939,1.39235822,1.122313974,3.131062486,1.959840763,1.849229845
Sub-Saharan Africa (excluding high income),SSA,6.575899708,4.902714419,4.403802717,3.550759674,5.557689614,5.668010354,4.274621986,2.77698537
South Sudan,SSD,45.07825706,-0.039381326,1.655223598,52.81465207,379.8480206,187.8516257,,
Sub-Saharan Africa,SSF,6.582129662,4.883916707,4.402253092,3.79635189,5.501724199,5.640931922,4.092978193,2.772864429
Small states,SST,3.656620483,1.923436041,1.577668883,0.968993459,0.977675135,1.904656155,2.330963796,1.946671246
Sao Tome and Principe,STP,10.63793534,8.105832709,6.99849944,5.250170864,5.432710958,5.695088786,7.857064313,
Suriname,SUR,5.006863194,1.923436041,3.383412727,6.893903592,55.41238798,21.99694302,,
Slovak Republic,SVK,3.606102635,1.40047369,-0.07616533,-0.325219777,-0.520010196,1.311945882,2.514037129,2.664561334
Slovenia,SVN,2.59741386,1.769200859,0.199343827,-0.525552286,-0.054999542,1.429107433,1.73860862,1.630522608
Sweden,SWE,0.888377507,-0.04429297,-0.179638494,-0.046784745,0.984269245,1.794499047,1.953535301,1.784150974
Eswatini,SWZ,8.939609185,5.620915763,5.680229928,4.952356149,7.847274591,6.221496227,4.814942338,
Sint Maarten (Dutch part),SXM,4.015184211,2.528647885,1.886754663,0.330027165,0.111682656,2.19201011,,
Seychelles,SYC,7.110370623,4.338938483,1.385834546,4.041944107,-1.015481917,2.856795756,3.702918391,1.8061116
Syrian Arab Republic,SYR,36.70229534,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,,
Chad,TCD,7.516623647,0.222671565,1.681973139,4.377126651,-0.792440525,-1.53709963,4.274621986,-0.971939175
East Asia & Pacific (IDA & IBRD countries),TEA,3.225169573,2.928071048,3.370406974,1.085155352,1.596914927,2.890924692,3.329910633,2.762520194
Europe & Central Asia (IDA & IBRD countries),TEC,3.334922677,2.785000567,2.082447939,3.731691193,1.122313974,2.755649238,2.565725146,2.675992026
Togo,TGO,2.577181741,1.825394759,0.190875076,2.585003908,1.285448471,-0.981889869,0.927755426,0.67465277
Thailand,THA,3.014899503,2.184886185,1.895141819,-0.900424963,0.188149704,0.665631893,1.063897542,0.706728601
Tajikistan,TJK,5.83116601,5.009646453,6.104427651,5.714559496,6.004580823,,,
Turkmenistan,TKM,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,4.144572841,3.306553603,3.478322391,3.143416962,2.77316004,2.80283917,2.324144854,2.757097276
Timor-Leste,TLS,11.80030967,11.08490851,0.726275016,0.552796026,-1.338538762,0.557215537,2.63647201,
Middle East & North Africa (IDA & IBRD countries),TMN,6.335285446,4.821019563,2.908202985,1.557907113,2.738412087,4.321352183,4.462311085,3.005389494
Tonga,TON,1.147538537,0.775629322,2.510876333,-1.05399832,2.578155152,7.442245466,,
South Asia (IDA & IBRD),TSA,9.312445605,7.530406409,6.991638892,4.548143951,4.171390211,4.520228675,4.061163388,5.568685478
Sub-Saharan Africa (IDA & IBRD countries),TSS,6.582129662,4.883916707,4.402253092,3.79635189,5.501724199,5.640931922,4.092978193,2.772864429
Trinidad and Tobago,TTO,9.260281371,5.199817405,5.684418146,4.661215981,3.070667425,1.880384402,1.018569302,
Tunisia,TUN,4.611844322,5.316235313,4.625550995,4.437371273,3.629399374,5.308848396,7.30759176,6.720075329
Turkey,TUR,8.891569965,7.493090305,8.854572714,7.670853648,7.775134153,11.14431108,16.3324639,15.17682157
Tuvalu,TUV,,,,,,,,
Tanzania,TZA,16.00109385,7.870723646,6.13161433,5.58816953,5.174766293,5.318716052,3.494458489,3.46428058
Uganda,UGA,12.67873624,4.902714419,3.074677606,5.410004196,5.445758784,5.640931922,2.623975052,2.86909425
Ukraine,UKR,0.568727972,-0.238948626,12.07185629,48.69986464,13.9127102,14.43832275,10.95185594,7.886717456
Upper middle income,UMC,3.781807547,2.806716509,3.033727183,1.78640244,2,3.293918857,2.811868406,2.675992026
Uruguay,URY,8.097765806,8.57513504,8.877353332,8.666269871,9.639413476,6.218093826,7.606533604,7.881988709
United States,USA,2.069337265,1.464832656,1.622222977,0.118627136,1.261583206,2.130110004,2.442583297,1.812210075
Uzbekistan,UZB,,,,,,,,
St. Vincent and the Grenadines,VCT,2.598444141,0.805127804,0.193858561,-1.73361195,-0.149641648,2.153336488,2.324144854,
"Venezuela, RB",VEN,21.06899563,40.63942752,62.16864998,121.7380853,254.9485348,,,
British Virgin Islands,VGB,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,
Vietnam,VNM,9.094703396,6.592674759,4.084554466,0.631200905,2.66824817,3.520256888,3.539628059,2.795823675
Vanuatu,VUT,1.347403629,1.458933718,0.798863838,2.483268757,0.842069084,3.084526244,2.330963796,2.762520194
World,WLD,3.694549458,2.613433527,2.337288432,1.434317986,1.541460848,2.275034573,2.514037129,2.252369061
Samoa,WSM,2.049018835,0.610085721,-0.406816088,0.724470135,1.304718693,1.749896775,4.197458887,0.98232657
Kosovo,XKX,2.476737822,1.767324284,0.428957808,-0.536929393,0.273169431,1.488234306,1.053797737,2.675992026
"Yemen, Rep.",YEM,9.885387145,10.96844215,8.104725836,,,,,
South Africa,ZAF,5.723943662,5.776404135,6.136020151,4.509208278,6.594604415,5.181082233,4.504577493,4.124350725
